winner_id

Match ID: 537027, Team ID : 1537, Win or loose : 0, Probabilité de l'équipe ID: 0.4581943697604095
Match ID: 537028, Team ID : 389, Win or loose : 1, Probabilité de l'équipe ID: 0.8764062132366087
Match ID: 537029, Team ID : 1536, Win or loose : 1, Probabilité de l'équipe ID: 0.9527287340148831
Match ID: 537030, Team ID : 1385, Win or loose : 0, Probabilité de l'équipe ID: 0.054935507421341026
Match ID: 537031, Team ID : 1097, Win or loose : 1, Probabilité de l'équipe ID: 0.863847628041882
Match ID: 537032, Team ID : 390, Win or loose : 1, Probabilité de l'équipe ID: 0.8131311967964523
Match ID: 537033, Team ID : 113, Win or loose : 0, Probabilité de l'équipe ID: 0.13170798124212094
Match ID: 537034, Team ID : 311, Win or loose : 0, Probabilité de l'équipe ID: 0.06603355462334294
Match ID: 537035, Team ID : 1097, Win or loose : 1, Probabilité de l'équipe ID: 0.7809705368876185
Match ID: 537036, Team ID : 113, Win or loose : 1, Probabilité de l'équipe ID: 0.6328364985288026
Match ID: 537037, Team ID : 1535, Win or loose : 0, Probabilité de l'équipe ID: 0.06223422766675073
Match ID: 537038, Team ID : 389, Win or loose : 0, Probabilité de l'équipe ID: 0.4396957244124312
Match ID: 537039, Team ID : 1385, Win or loose : 0, Probabilité de l'équipe ID: 0.4156497913960549
Match ID: 537040, Team ID : 1097, Win or loose : 1, Probabilité de l'équipe ID: 0.903589329515553
Match ID: 537041, Team ID : 1537, Win or loose : 0, Probabilité de l'équipe ID: 0.324881352341711
Match ID: 537042, Team ID : 1385, Win or loose : 1, Probabilité de l'équipe ID: 0.6449658494825877
Match ID: 537043, Team ID : 1536, Win or loose : 1, Probabilité de l'équipe ID: 0.5894907765408325
Match ID: 537044, Team ID : 387, Win or loose : 1, Probabilité de l'équipe ID: 0.9510378236228767
Match ID: 537045, Team ID : 390, Win or loose : 1, Probabilité de l'équipe ID: 0.5533704719900328
Match ID: 537046, Team ID : 1535, Win or loose : 1, Probabilité de l'équipe ID: 0.9244482431368706
